Item ID,Title,Category ID 1,Category Name 1,Category ID 2,Category Name 2,Category ID 3,Category Name 3,Category ID 4,Category Name 4,Price,Currency,Original Price,Discount %,Seller Name,Seller Feedback %,Seller Feedback Score,Condition,Shipping Cost,Product URL,Item Location,Item Listing Date,Main Image,Thumbnail Image
v1|175926748686|476360910489,Reebok Flexagon Energy 4 Men's Training Shoes,15709,Athletic Shoes,11450,"Clothing, Shoes & Accessories",93427,Men's Shoes,260012,Men,39.99,USD,65,38,reebok_official,98.2,138489,New with box,0,https://www.ebay.com/itm/175926748686?_skw=Men%27s+shoes&hash=item28f60d260e:g:bWkAAOSw7~BnkOTf,US,2023-09-27T21:15:03.000Z,https://i.ebayimg.com/images/g/bWkAAOSw7~BnkOTf/s-l225.jpg,https://i.ebayimg.com/images/g/bWkAAOSw7~BnkOTf/s-l1600.jpg
v1|404795752993|674815146704,Sperry MocSider Slip On  Mens Black Casual Shoes STS23793,15709,Athletic Shoes,11450,"Clothing, Shoes & Accessories",93427,Men's Shoes,260012,Men,13.94,USD,70,80,official_shoebacca,99.1,414294,New with box,0,https://www.ebay.com/itm/404795752993?_skw=Men%27s+shoes&hash=item5e3fb50221:g:ghgAAOSw6itlyqWi,US,2024-02-12T23:09:09.000Z,https://i.ebayimg.com/images/g/ghgAAOSw6itlyqWi/s-l225.jpg,https://i.ebayimg.com/images/g/ghgAAOSw6itlyqWi/s-l1200.jpg
v1|405023565914|675588369059,Fila Axilus 2 Energized Tennis  Mens White Sneakers Athletic Shoes 1TM01876-112,15709,Athletic Shoes,11450,"Clothing, Shoes & Accessories",93427,Men's Shoes,260012,Men,37.55,USD,115,67,official_shoebacca,99.1,414294,New with box,0,https://www.ebay.com/itm/405023565914?_skw=Men%27s+shoes&hash=item5e4d49285a:g:1kYAAOSwGpxmY1iz,US,2024-06-07T18:57:49.000Z,https://i.ebayimg.com/images/g/1kYAAOSwGpxmY1iz/s-l225.jpg,https://i.ebayimg.com/images/g/1kYAAOSwGpxmY1iz/s-l1200.jpg
v1|235970721598|536440626925,Nike Air Diamond Turf Shoes 'Signing Day' HV5788-001 Men's Sizes New,15709,Athletic Shoes,11450,"Clothing, Shoes & Accessories",93427,Men's Shoes,260012,Men,159.18,USD,171.16,7,rdm6,96.9,1760,New with box,0,https://www.ebay.com/itm/235970721598?_skw=Men%27s+shoes&hash=item36f0f3773e:g:VPQAAOSw~DNnuSWK,US,2025-02-22T01:19:08.000Z,https://i.ebayimg.com/images/g/VPQAAOSw~DNnuSWK/s-l225.jpg,https://i.ebayimg.com/images/g/VPQAAOSw~DNnuSWK/s-l1200.jpg
v1|205039043141|505981790443,MUCK BLACK CHORE,15709,Athletic Shoes,11450,"Clothing, Shoes & Accessories",93427,Men's Shoes,260012,Men,31.88,USD,41.99,24,lehighoutfitters,99.4,20549,New with box,0,https://www.ebay.com/itm/205039043141?_skw=Men%27s+shoes&hash=item2fbd478245:g:r2sAAOSwKcNni5oT,US,2024-10-12T12:45:06.000Z,https://i.ebayimg.com/images/g/r2sAAOSwKcNni5oT/s-l225.jpg,https://i.ebayimg.com/images/g/r2sAAOSwKcNni5oT/s-l1600.jpg
v1|387553644379|654791889378,Men's Casual Slip on Shoes Athletic Running Outdoor Gym Sneakers Tennis Walking,15709,Athletic Shoes,11450,"Clothing, Shoes & Accessories",93427,Men's Shoes,260012,Men,19.94,USD,19.94,0,hengyuan_28,100,3,New without box,0,https://www.ebay.com/itm/387553644379?_skw=Men%27s+shoes&hash=item5a3bff4f5b:g:LBUAAOSwQFhnIIzu,CN,2024-10-29T07:45:52.000Z,https://i.ebayimg.com/images/g/LBUAAOSwQFhnIIzu/s-l225.jpg,https://i.ebayimg.com/images/g/LBUAAOSwQFhnIIzu/s-l960.jpg
v1|405507013872|675793591558,adidas Fear Of God X Athletics Los Angeles Lace Up  Mens Beige Sneakers Casual S,15709,Athletic Shoes,11450,"Clothing, Shoes & Accessories",93427,Men's Shoes,260012,Men,59.99,USD,170,65,official_shoebacca,99.1,414294,New with box,0,https://www.ebay.com/itm/405507013872?_skw=Men%27s+shoes&hash=item5e6a19fcf0:g:nOQAAOSwjVdnmPsP,US,2025-01-28T15:41:18.000Z,https://i.ebayimg.com/images/g/nOQAAOSwjVdnmPsP/s-l225.jpg,https://i.ebayimg.com/images/g/nOQAAOSwjVdnmPsP/s-l1200.jpg
v1|286219011479|588342699262,adidas Yeezy Slide Bone FZ5897 in US,15709,Athletic Shoes,11450,"Clothing, Shoes & Accessories",93427,Men's Shoes,260012,Men,70,USD,70,0,hypex-official-store,98.4,2334,New without box,0,https://www.ebay.com/itm/286219011479?_skw=Men%27s+shoes&hash=item42a3fb8597:g:6XQAAOSwIKZnNc1p,US,2024-11-14T10:14:11.000Z,https://i.ebayimg.com/images/g/6XQAAOSwIKZnNc1p/s-l225.jpg,https://i.ebayimg.com/images/g/6XQAAOSwIKZnNc1p/s-l1600.jpg
v1|356105209614|0,"Merrell Men's Running Shoes, Black, 9.5",15709,Athletic Shoes,11450,"Clothing, Shoes & Accessories",93427,Men's Shoes,260012,Men,47.85,USD,47.85,0,qnmt-trading,96.4,359,New with box,0,https://www.ebay.com/itm/356105209614?_skw=Men%27s+shoes&hash=item52e986470e:g:8cQAAOSw2oNm-7fC&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5Ublg7n%2BBAsNgvlQRfvNzU%2B7dmRm523mRUhzbk0QGpYKxJnvLzsd9QARnIv6Dew2tgKL%2BUmvjw4NLLVRdcw51SSBHs2gjw0l353KYQa%2BzflPtLsQOB9bo7hxwWKPu6RR5xschyR8gUUcLxjAqtvJA8lAiV8HIbHzKOhV369u0Fynys%2B8yAB1PRAPy06GXEqXGpiVckxTZ%2BNOAs2fLLhkw3rgQeP7V3IAfDi4eG8AlC0pNLPNubpdGZlZYjZUMd1O9eQ9C96Bc8bwDbCta%2BqAC74VsYkdjE8APVpxqUT0Eia05Q%3D%3D,US,2024-10-01T08:50:11.000Z,https://i.ebayimg.com/images/g/8cQAAOSw2oNm-7fC/s-l225.jpg,https://i.ebayimg.com/images/g/8cQAAOSw2oNm-7fC/s-l500.jpg
v1|276640175100|2560069952796,PUMA Men's Reflect Lite Running Shoes,15709,Athletic Shoes,11450,"Clothing, Shoes & Accessories",93427,Men's Shoes,260012,Men,32.99,USD,70,53,officialpumastore,98.5,360142,New with box,0,https://www.ebay.com/itm/276640175100?_skw=Men%27s+shoes&hash=item40690a13fc:g:uioAAOSwHkxm5SlC&amdata=enc%3AAQAKAAAA4PeG5RIuIyokJHJy903%2F5UZEex%2BpZX9sGu2uRi5P%2Fxz8OuodecrPsk48WNExtoaSmMTeucsDkNTbY%2FaqjIWT4An45kyDvQf%2BHxtxeUNsg4jOeLhx1%2BgfETUYBWVQ3RgCZcPl6Q8IvPbnG3dnJaMEnAKY0X1mNt%2B9Ui4Xa3Vq3r5wCrouW%2FZHx8x2--2VWOntfLoPlrEBkFzJ55PfxDH9lpcJA%2Bxyu4sLtoyq2er0LqGV9rNGae3yHdQMu6LfHnJpOGgyNpw87pucXYyI24kH4osdZvrxUVkMyKI4z8NbuKuG,US,2024-09-14T06:10:06.000Z,https://i.ebayimg.com/images/g/uioAAOSwHkxm5SlC/s-l225.jpg,https://i.ebayimg.com/images/g/uioAAOSwHkxm5SlC/s-l1600.jpg
